,VAR_ID_APORTACION,DT_FECHA_APORTACION,INT_NO_APORTACION,VAR_DETALLE_APORTACION,VAR_MONTO_APORTACION
136,dc639044be2942c0b4a8dbc4bc95fdd5,21-08-2020,76,Problema con tercera aportación,908
137,80aebc01b6f840c3b0c4855ce2a2f782,19-02-2021,69,Revisar mínimo de aportes,279
138,74ece0a998ef4dfb908d903164ff29ff,07-05-2020,24,Problema con tercera aportación,817
139,0f28df0eedce4bb9a9ca61d1ba15463d,02-02-2022,19,Problema con tercera aportación,084
140,6b13b7ac5d1b46b4b9d6492c9fd1cfca,01-01-2021,53,Revisar mínimo de aportes,403
141,27a9f43cb2d04b90a65df5772754cd54,07-05-2021,96,Problema con tercera aportación,697
142,3f0898e64fcc4865bef02a1f1de5fb32,26-11-2020,33,Problema con tercera aportación,400
143,f52ceb2a256845419825a588285fdf1d,31-10-2022,73,Revisar mínimo de aportes,304
144,64897f1eaa994854839fd7b4775e5901,23-08-2022,91,Revisar mínimo de aportes,126
145,f9aa6e78df524a96a7749204cf6fc239,25-01-2020,42,Primera aportación puntual,885
146,a9458a8e035647bd915770473e1f8984,17-06-2020,34,Monto de aportes,502
147,99cdaf8a218e457484ff5ce6aa3a3619,24-03-2021,29,Revisar mínimo de aportes,513
148,16793d3d090a49c880ab450e247022fc,11-12-2022,30,Monto de aportes,901
149,3baa97ea56174e5d8e86b86cf20d56d5,29-04-2021,87,Monto de aportes,577
150,3f70f72c1199446fab5813851eda54a4,08-04-2022,22,Monto de aportes,988
151,173c457d5a52456ca9d6b348e359f994,29-07-2020,50,Problema con tercera aportación,811
152,a6de2fc50897477e84aa8748ca18cac1,01-11-2022,03,Problema con tercera aportación,614
153,bd3e03aa8bae4425afe908db921fe77f,28-02-2022,99,Problema con tercera aportación,772
154,dc76086b42264da3a60b7e22ceb857a4,15-06-2021,89,Problema con tercera aportación,237
155,2bab7cd9bc514b3da27c203f4ac0f20c,14-11-2021,56,Problema con tercera aportación,349
156,ca4ff1e33c684da687512fa9e5536196,24-04-2020,03,Problema con tercera aportación,241
157,46dc03ece99c4dd6a13e91ed516e96ea,12-03-2020,94,Problema con tercera aportación,793
158,71ea58b1f3e34e549974736537f3307b,20-05-2021,47,Monto de aportes,747
159,a73b250356144187b9f2c9408b84e4d0,17-05-2021,54,Revisar mínimo de aportes,587
160,febb39041d9d42508a23eff166a8c7f3,04-03-2020,60,Primera aportación puntual,685
161,7d71a6c7289e4c57a85f0bd013c2514e,30-05-2020,27,Problema con tercera aportación,729
162,ac23f1c6a06c48819cc202f167bf94f1,22-01-2022,38,No realizo la décima aportación,787
163,892d093997c6450481fcc0da62ee95f8,27-08-2022,13,No realizo la décima aportación,245
164,780a487c8fa94d7c9615057fe03e229a,07-10-2020,87,No realizo la décima aportación,968
165,bbb5bb3167264f7bbde9cb7f38a97c2b,16-11-2021,06,Monto de aportes,440
166,be881b4995544bfebcf3c828942abfc3,24-08-2022,88,Monto de aportes,116
167,68f4b7d1428b4737918a416f7b2b744a,29-11-2022,35,No realizo la décima aportación,162
168,bee601fffe1f4e2d95f32d59d82f828a,01-02-2022,91,No realizo la décima aportación,559
169,83856cdef5ed4cb79fc44b701965e316,19-04-2021,53,Problema con tercera aportación,761
170,370a33d7fe014057812c6d48f7a1968f,27-10-2021,75,Problema con tercera aportación,781
171,99dc7418940748139e4d4f94726e6347,09-11-2020,20,No realizo la décima aportación,749
172,4b883ab50cbe4cd4b6fbddb739737065,06-01-2023,12,Problema con tercera aportación,616
173,17c9211178b147f0b255e8451715c74a,14-03-2022,00,Primera aportación puntual,032
174,524ffd8b3d154007a416ca4cb2a94370,24-04-2021,35,Problema con tercera aportación,836
175,06d0134ca88d452e99b463a48a02bf42,22-03-2022,33,Problema con tercera aportación,452
176,7ec9e738c4624635b733123803950ac1,19-03-2022,65,No realizo la décima aportación,100
177,a600dca2aa524bc8bcbe0d386d7297b4,21-08-2022,37,Problema con tercera aportación,090
178,1ec5547d6cac4b3da23922a6d7b79714,01-09-2022,55,Revisar mínimo de aportes,541
179,1e1cbc5143fd427ebabe08f20178ba6d,28-12-2020,40,Problema con tercera aportación,925
180,f52dbe2c2d8f4c69949d981e09947b06,20-07-2021,18,Problema con tercera aportación,413
181,cfbe5243a9b140f69785c7c21794ac32,27-08-2022,59,Problema con tercera aportación,723
182,4fe919d10c974fdfb8c0959ccccceba0,18-05-2020,69,Primera aportación puntual,260
183,9124c4e2d9ec4eeeb4176bc18b830357,05-12-2020,18,Revisar mínimo de aportes,957
184,031e12458abb4f04bc4420a3529c51a2,18-04-2020,06,No realizo la décima aportación,338
185,7a89403cbdd340dfbed24210fe7faa87,08-08-2021,99,Primera aportación puntual,640
186,9f6d73a1f82946cea93c5a97f5258928,20-09-2020,56,Primera aportación puntual,229
187,d28b36fed619434db541da11aa4061a9,17-03-2020,24,Problema con tercera aportación,865
188,a7a53bb7e941419fa7566a6b01400490,01-08-2020,22,No realizo la décima aportación,347
189,3bb454d282b34364b2d3f6fe9f783d74,02-04-2022,67,Problema con tercera aportación,545
190,f0356c26b065489082f30fffd347eba2,17-01-2021,42,Revisar mínimo de aportes,907
191,189d731d09634e7f86e9bf6db72185b1,16-10-2020,19,Problema con tercera aportación,989
192,b0493702afa54ebc965beb25abd87714,29-10-2020,44,Monto de aportes,208
193,415ffe15a3d9473b87a5f0e6243c7557,24-12-2022,50,Revisar mínimo de aportes,496
194,2bf76c5969e2448e98be5675041cdd3a,09-03-2021,24,Revisar mínimo de aportes,768
195,6c775cfe972a4ae1be11b383da899f52,02-01-2023,82,Revisar mínimo de aportes,476
196,4714db66cf4649479f6c52030b630107,11-06-2020,43,Revisar mínimo de aportes,160
197,bfc1289bb8f54415a57ff4937e9fc602,24-11-2022,30,Revisar mínimo de aportes,625
198,69073c995568438dae4b7bb0373c8cd2,22-10-2020,24,Monto de aportes,242
199,839627047df847d09804588559e7df4a,07-02-2021,86,Primera aportación puntual,829
200,b8336b364c7a42c5a31976bf4d684e71,06-03-2022,27,Problema con tercera aportación,300
201,3b1e4b9349044a078a5f8abb3d91f00c,13-05-2022,70,No realizo la décima aportación,152
202,171c931906444639852bbcec7ca4b870,09-01-2021,56,Problema con tercera aportación,700
203,276d8f5e8c6d41c480c05160a49ed01e,18-10-2021,19,Problema con tercera aportación,913
204,581a950124b44cb5a17f949d91996c5e,28-06-2021,09,Monto de aportes,190
205,2f6d1812ba6c42ee8c00a35b4349bd3a,19-01-2021,61,Problema con tercera aportación,688
206,52c6493b07d64893a24bc37c939e7775,22-02-2021,01,Revisar mínimo de aportes,039
207,88bdf3f9191e4c249af357d5339f7aa1,02-02-2021,76,Monto de aportes,490
208,9e38ab786d904ec59d4d7fc44cbab786,24-11-2020,28,Revisar mínimo de aportes,482
209,2a3f236257ea4d719cbdb3437dbda398,18-12-2020,76,Problema con tercera aportación,266
210,2ac2dd978dc840bb91c74a614e3e23e8,22-05-2020,81,Problema con tercera aportación,657
211,490514fdd1244825aac64653749a6ece,18-08-2022,96,Problema con tercera aportación,057
212,a262da8b9b77446eaceffcc0672e9608,22-01-2023,25,Primera aportación puntual,937
213,9a495a84e3f24a68a2ded15be3e47f33,01-11-2021,98,No realizo la décima aportación,687
214,8f35cd39ca8a4e68b64bed1ef0093fd5,22-11-2021,20,No realizo la décima aportación,578
215,866bb57b6f2f40f38ec26e8acbc7b9de,07-07-2020,24,Revisar mínimo de aportes,008
216,a79b778cb4d64d8d96b0c7e70a7a0be5,14-12-2022,26,Monto de aportes,163
217,4b564a89790f4947a3d1ed4ecd8f6a19,18-06-2020,30,No realizo la décima aportación,509
218,08ee2d01f11946399bd0ebebcfa539fe,13-04-2021,95,Problema con tercera aportación,588
219,82382aa666524c30907b7b706f47bef5,25-02-2022,40,Problema con tercera aportación,503
220,de53c97859bd40be9dab6ae37ef6a4f0,20-11-2020,03,Monto de aportes,681
221,68e6a346dd544f639440e927a38a46b8,13-06-2022,39,Monto de aportes,810
222,b984fdc2c33c48ca963ca3857ef09418,16-08-2020,61,Primera aportación puntual,165
223,97e3a18cb9c24a2d93cb9f7e32f6eccb,11-04-2020,78,Revisar mínimo de aportes,182
224,181becf11baf40b3a780e1dd63aab0b2,01-01-2022,86,No realizo la décima aportación,339
225,a90c67cba56a42af8351597fefa69b7f,18-09-2022,93,Primera aportación puntual,622
226,f393c4538a7b4eeebc14d73bf68411ef,21-05-2020,41,Problema con tercera aportación,248
227,9d636fa2649a49b392f303507821fd67,15-08-2022,35,Problema con tercera aportación,543
228,d63a8097464e425092b2cb6ad13b7671,07-04-2021,67,No realizo la décima aportación,317
229,f59bae5b76fc43f289c4c4b4b174355f,05-06-2022,38,Primera aportación puntual,981
230,7cfc600faa7a448ebf27b42548697d5b,21-07-2020,45,Revisar mínimo de aportes,794
231,b56e585e0ac541638708a0e733f33045,12-02-2022,19,Monto de aportes,001
232,551495f09cba498fa895103e71f553f3,15-12-2020,09,Problema con tercera aportación,632
233,c7cb8c26f0464e4ca150d1258c8d2c82,06-12-2020,67,Primera aportación puntual,498
234,3ad951bda25f4de88d0534df2519ca4c,09-01-2020,33,Revisar mínimo de aportes,955
235,09742b4fe5804c46ad931ff67eeae752,19-09-2022,71,Problema con tercera aportación,270
236,aab5a8b7c9b049d38fa38f3b083bd942,20-03-2021,23,Primera aportación puntual,114
237,311f5ea29ea44969affc9527d0c99322,21-01-2021,05,Problema con tercera aportación,179
238,b11a8ce9151046be83dcdc29d1616dbe,14-10-2022,93,Problema con tercera aportación,172
239,eb2d278727034c138bfb00bcee492eaa,15-07-2020,49,Problema con tercera aportación,878
240,903bf113cc854888b9577758461f69b4,26-05-2021,42,Problema con tercera aportación,928
241,4c303a00355e4aef85b29d1509ecbdfc,13-07-2020,71,Problema con tercera aportación,730
242,60017e7809234501bcbb4de593db47e2,04-12-2020,65,No realizo la décima aportación,645
243,742f42513909408d8d88075f3313c242,01-02-2021,00,No realizo la décima aportación,198
244,ecc8e2d5cc1840ba99662b079ed2723c,25-06-2022,12,No realizo la décima aportación,365
245,f342bbc5553543809f84579a83f18f92,01-11-2022,97,No realizo la décima aportación,821
246,9bfc656618734af3a39483a5dc157398,09-08-2020,21,Monto de aportes,239
247,a7bd230ba5104d43aabc7bdbd48c8936,15-07-2022,91,Monto de aportes,020
248,cae505466409490f9625544360ac8bdc,28-02-2020,48,No realizo la décima aportación,355
249,7de3378817d64c4eaf638142fdb97181,09-10-2022,74,Problema con tercera aportación,431
250,4a44ec75d79a466c850ab5641ad05a1b,17-10-2022,77,Monto de aportes,665
251,b7b271359ff24eb29e325b824bfb1e9f,10-04-2020,74,Problema con tercera aportación,243
252,819a7e89688540d896d770ce7a729e1a,20-03-2022,51,Problema con tercera aportación,514
253,5830848faec9413581846bb25385ab6e,29-01-2021,67,Primera aportación puntual,602
254,35a79cbc2170441c989da93e1d018cf9,23-09-2022,96,Primera aportación puntual,220
255,f8cfffdf9b5f4b3ea81b14d067b56f60,14-03-2021,11,Problema con tercera aportación,027
256,e691ef55975a4cf89952c7baeae219eb,28-06-2020,50,Problema con tercera aportación,385
257,93b97e47da1148b6aa2e189cd29fdf59,15-06-2020,20,No realizo la décima aportación,456
258,352b8e1d00bc4ebbbeaaea8761f1e9d7,28-09-2020,38,Primera aportación puntual,045
259,3ced158d95fc4d328f0d274bf1f4a2cc,15-04-2022,68,No realizo la décima aportación,978
260,c0986945ad2c40c18d3e5dd26e3213ce,18-04-2020,63,Revisar mínimo de aportes,309
261,34d949165ba547888c03f31ad9346848,03-10-2020,42,Monto de aportes,601
262,4c5b1e50cd21495a9a60989cb9754a5f,24-09-2020,11,Revisar mínimo de aportes,456
263,03a04e891fd842eea8e1403b3b0c24a1,12-06-2022,80,Monto de aportes,754
264,f8bd68706bf54cf791782c250ab21d56,01-01-2020,34,Primera aportación puntual,688
265,92f69d7e830047aba211997108ae7ccd,30-01-2022,39,Problema con tercera aportación,102
266,364c76f95128410da0d8317a063ace1a,02-02-2020,61,Problema con tercera aportación,356
267,6b3f3b3665e24589ac22639ced1d4ee9,20-05-2022,44,No realizo la décima aportación,106
268,44654f835327495985f0c9736f9d2f08,20-08-2020,42,Monto de aportes,913
269,60ffcf32621740699b14bcbca530e78c,06-10-2021,18,No realizo la décima aportación,577
270,c68c1b8328704eae9304ad3a6c0073e5,06-10-2021,92,Problema con tercera aportación,224
271,f8a0a448a503488bb1af27110d104fb3,13-10-2022,55,Primera aportación puntual,511
272,fbbd92b479eb40239ed1793a2b891c53,20-05-2020,99,No realizo la décima aportación,605
273,136e81d312604693abb2be99b7a781e1,23-06-2022,99,Monto de aportes,275
274,2d91396bc76042a59be900e950c3a2c1,30-11-2020,62,Monto de aportes,322
275,daeb3c51abb640628e1184fbbde6221b,28-03-2022,93,Problema con tercera aportación,288
276,8c9fe14842014fcab2aacd16511195ae,31-01-2021,92,Revisar mínimo de aportes,110
277,757c6b112f764af7945dd381ff01d1b3,07-03-2021,73,Problema con tercera aportación,831
278,3e40386523544b40977fee3d22225015,14-07-2021,05,Problema con tercera aportación,924
279,24ecee817b2245c18aeb01efe57a1c8a,26-02-2022,78,Revisar mínimo de aportes,607
280,dcf0977d6f504f748b19241788bd11b3,09-02-2020,49,Problema con tercera aportación,741
281,b615512371524498aff5429b1c208c40,19-05-2020,61,Monto de aportes,367
282,8f8a038b3dc240b48c8f91553738ce91,14-08-2021,77,Problema con tercera aportación,498
283,d208a9c7c917490893e7b6a315046d29,07-09-2022,37,Primera aportación puntual,489
284,483c869e5d1e4277af4d822df49642e2,01-08-2020,37,Monto de aportes,233
285,15176c5f11b54627a89aa72ed78b71f9,23-02-2021,82,Primera aportación puntual,434
286,1edd43b51b4e4082a63915ffa44b4af0,09-04-2020,68,Problema con tercera aportación,945
287,aa494f8ee2e44886a209285f4af5e737,22-02-2022,15,Primera aportación puntual,336
288,0fd39529b5444ac0a9eecf22c0774bee,17-08-2020,06,No realizo la décima aportación,958
289,91f6e20716264295b938bbcd8332aca5,05-06-2022,41,Problema con tercera aportación,588
290,dc327dd313d741d79a2950fb387ce216,14-03-2021,40,Monto de aportes,571
291,d474674c06ee422fb9e25da90644970c,20-09-2022,08,Primera aportación puntual,045
292,152df10acb6744fc91312f37abfe5f1d,26-08-2021,43,Problema con tercera aportación,931
293,f070a41509524625ba13a1a202c17eec,12-04-2022,13,Primera aportación puntual,930
294,87d26c745dc146d480df1f9b47844ba0,26-03-2021,92,Problema con tercera aportación,124
295,78537aa036f646a184bfe5e6ff8a5c27,12-01-2021,63,Monto de aportes,835
296,cc61308eb0224edbab5c13c6d9a8f9ad,27-07-2020,93,No realizo la décima aportación,216
297,07265e73b66745f8bf0de1b15c9b53e5,23-12-2022,31,No realizo la décima aportación,626
298,718a8c4f381147ccb639171c9989ebdb,19-06-2021,77,No realizo la décima aportación,095
299,5ae38dcbd03e4f0bb28f7a4092082ed3,18-08-2022,79,Monto de aportes,831
300,8cc6a18f1b8b4543a851dce33a3e448e,31-10-2022,92,Primera aportación puntual,669
301,b050b81a0a744b92ab9e931deeb0346d,20-06-2022,19,Problema con tercera aportación,617
302,4bb80935358e4f048d30836d874f9991,01-01-2021,77,No realizo la décima aportación,175
303,4e6b33800caf4f87abdf0b73ca6e311d,30-07-2020,72,Revisar mínimo de aportes,486
304,e5584cfccf654fa489539403bce0684f,19-04-2022,71,Monto de aportes,618
