,INT_ID_EMPRESA,VAR_NOMBRE_EMPRESA,VAR_DETALLE_EMPRESA,VAR_RESPONSABLE_EMPRESA,VAR_PROVINCIA_EMPRESA,VAR_CANTON_EMPRESA,VAR_PARROQUIA_EMPRESA
122,808dce427fd74dbdb33432674d18f33e,Raven Hardy,Empresa industrial,Tammy Villegas,El Oro,Arenillas,El Carmen
123,a5a15180c18f4578bff222ae4d4d77c1,Destiny Jones,Empresa de juguetes,Tanya Nelson,Pichincha,El Pan,Machala
124,85e6cdd81a5c4d678dbb3609a5ec3aac,Evelyn Hopkins,Orfanato,Elizabeth Allen,Pichincha,La Troncal,La Iberia
125,0127aabe5ffd400590eebb054b4f1d5b,Michael Benson,Supermercado,Nicholas Williams,Napo,Quevedo,Santa Elena
126,54f3e0cb434f45289081bf350877c8c7,Alicia Horn,Peluqueria,Sheri Ramos,Bolivar,Samborondon,Cumbaya
127,0f12dae1de3a404582b990c6e016ac83,John Burke,Farmacia,Michael Summers,Los Rios,Alausi,Asuncion
128,51e03fb8d432421b90b8d6a550e8b1d5,Darrell Washington,Elaboracion de instantaneos,Howard Jones,Napo,Playas,Cordoncillo
129,d8bc2037e6f64ef3b9dd9d81aa96a115,Randall Lynch,Empresa de alimentos,Mr. James Fields,Imbabura,Antonio Elizalde,El Eden
130,a49c10e049b247ae9ed88d07e242e954,Mitchell Thompson,Orfanato,Douglas Weaver,Los Rios,Balsas,Tuutinentza
131,5ab0a5300f1d4df3826f53fdd807f654,Charles Pierce,Ferreteria,Luis Wilson,Cañar,Echeandia,Salinas
132,7d4af293533f46fa8edead1e9e08c083,Mary Hogan,Empresa de muebles,Linda Lucas,Pichincha,Gonzanama,Chuga
133,5f01abe8173d4d6d94815a0ba4a562eb,Samuel Hernandez,Servicio de telecomunicacion,Thomas Phillips,Loja,Marcabeli,Lumbaqui
134,b43f74da8d42418495c5541b389506cb,Cassandra Elliott,Orfanato,Kimberly Schultz,Imbabura,Saraguro,Matriz
135,648378bf23ab44b6aab7a3c5df3544a0,Mindy Cox,Farmacia,Elaine Ponce,Napo,Nobol,Santa Elena
136,ffccb18e605b4e10866986918beb39ae,Nicholas Griffin,Elaboracion de instantaneos,Robert Krause,Santa Elena,Atahualpa,Casacay
137,616e9a07aaab478cbfc181638061118f,Kimberly Griffin,Empresa de alimentos,Cindy Hernandez,Zamora Chinchipe,Montalvo,Piartal
138,25464ec3c1e74ccfac1c34d5fbec9d75,Henry Padilla,Orfanato,Fernando Koch,Morona Santiago,Colimes,Cayambe
139,7b2ec2e03229408cb5e38b3d24ddb697,Corey Higgins,Ferreteria,Jerome Conway,Napo,Santa Elena,Ilapo
140,65ab5d3abee44541a074b0dbf623e80f,Jerry Morgan,Empresa de carros,Johnny Mendoza,Sucumbios,La Joya de los Sachas,Caracol
141,687990069b334b5d8925c305952feacc,Beverly Cortez,Farmacia,Rebecca Greene,Chimborazo,Valencia,Tarifa
142,72c8f19ad019411f94d0fdd9678d4e8c,Kristina Wood,Ferreteria,Candace Malone,Cañar,Santiago de Mendez,Tundayne
143,e49f504b486146ef8cdbfc79e3f6dca4,Robert Williams,Museo,Christopher Watkins,Morona Santiago,Shushufindi,Esmeraldas
144,898aac64ee214a248c7219ab0a8dcb53,Abigail Wilson,Ferreteria,Karen Bowers,Morona Santiago,Ibarra,Guadalupe
145,35d2295fc90142bea22eee5408b8efbf,Randy Matthews,Orfanato,Christopher Parker,Los Rios,Montufar,Palma Roja
146,7ccb8f3bcf364d73af6fdb42ed1420b7,Amber Schmidt,Orfanato,Catherine Hayes,Los Rios,Aguarico,Madre Tierra
147,20089715060443f6b664d2c97b15d4e7,Jennifer Boyd,Farmacia,Kathy Price,Cañar,Marcelino Maridueña,Huamboya
148,e0ea2cdf16a24822b798d1a3589ab0b5,Kaylee Sanchez,Empresa de alimentos,April Liu DVM,Santa Elena,Las Lajas,La Libertad
149,f64c6da6b5494ba284cacdf507aa3a79,Tricia Wright,Peluqueria,Carolyn Griffin,Cañar,Rumiñahui,Salinas
150,afb500f888fd4f60b1127d18c6d7ca93,Patricia Wilson MD,Editorial de libros,Tonya Braun,Guayanas,San Vicente,Colonche
151,85b04d70a5a943999f4923b78cf0b55c,Edward Tate,Farmacia,Dylan Kim,Zamora Chinchipe,Milagro,Yasuni
152,5ca0630b7b6541ce89ee7e6642e34515,Elizabeth Romero,Orfanato,Julie Holmes,Santa Elena,Guayaquil,Bellavista
153,3563994101074fef888df3b52056f180,Anne Cantu,Ferreteria,Megan Rodriguez,Morona Santiago,Pindal,Chacras
154,32eb486e5be443e880c3292ca792406f,Brenda Lang,Orfanato,Brandi Gonzalez,Napo,Huamboya,Madre Tierra
155,b913d546fb1c4c6994e01d897e9c9d66,Michelle Carpenter,Orfanato,Jade Smith,Galapagos,Saraguro,Tiputini
156,ab65de68788b44f0b1a6753350a69617,Kelly Wells,Empresa de gorras,Miss Sandra York,Galapagos,Saraguro,Cayambe
157,8f1f607a78cc4c89be936c0e1710f619,Jason Jones,Empresa industrial,Seth Freeman,Napo,Muisne,Mera
158,545ad64eac7a4cf78e87c4630b5733f7,John Turner,Albergue de animales,David Anderson,Imbabura,Baba,Chito
159,de063506f51f4b18848b63bd0b38907a,Susan George,Orfanato,Sandra Elliott,Pichincha,Puerto Lopez,Sarayacu
160,4fd3430c1f5d446a91336d0e4db81b3c,Nancy Farmer,Empresa de zapatos,Ashley Norton,El Oro,Santa Ana,Tena
161,e89038a431d644eaa265682a5aaaea21,Michelle Thomas,Empresa de juguetes,Julie Richardson,Loja,Pallatanga,Monterrey
162,e4d09672d36e46fbb725123bc399eaed,Connor Chapman,Empresa de muebles,Spencer Reeves,Santa Elena,Daule,La Bonita
163,b5dc0919bf2e4afba4964b2d7c479073,Kayla Turner,Empresa de bebidas,Candace Powers,Santo Domingo,Bolivar,Matriz
164,6219a56026a04c6085dc72c7680d0e41,Gregory Johnson,Museo,William Guerrero,Santa Elena,Milagro,Telimbela
165,6e7d21f80c734f63a87bf6f0b6fc7532,Dana Williams,Editorial de libros,Jody Jones,Bolivar,Yantzaza,Guare
166,e0b41266a682429f8a908540bee82f3f,Micheal Kirk,Albergue de animales,Daniel Castillo,Francisco de Orellana,Aguarico,Machala
167,5b12fca8dd9b4578989c00edd0c09d13,Nicole Williams,Empresa de ropa,Ashley Rojas,El Oro,Antonio Elizalde,Paquisha
168,e21f3fe7f4044cb996fa45b23be87f36,Logan Bradley,Empresa de gorras,Daniel Wise,Santa Elena,Celica,Cumbaya
169,0971f71b148c4ad8b8a1dd53d7295528,Michael Bradley,Empresa de ropa,Charles Hall,Bolivar,Baños,La Sofia
170,6608ee285ef3467297ca29cc04e547e6,Molly Daniel,Albergue de animales,Alyssa Davis,El Oro,Balao,Puerto Napo
171,5207610aa4cb4accbb6f7b18a337164a,Elizabeth Wilson,Orfanato,Marisa Watkins,Sucumbios,Las Lajas,Balsapamba
172,0faf44f27815424e822c9ad09df834d3,Victor Baldwin,Empresa de gorras,John Estrada,El Oro,Guano,San Blas
173,6b391e7c9bca4ab6b3a6ff64e08e0e0e,Martin Holt,Orfanato,Randy Morris,El Oro,Otavalo,Lourdes
174,60304d25ed374e17ac58ae688869a532,John Chapman,Orfanato,Samuel Galvan,Manabi,Pedernales,Cebadas
175,682b43156c6744b89a0cc9cb256ca265,Adam Smith,Peluqueria,Jeffrey Strickland,El Oro,Yacuambi,Chiguilpe
176,2caf69fafc8d429db6a666f3a3087120,Isaac Jimenez,Albergue de animales,Samuel Davila,Sucumbios,Duran,Cebadas
177,ab7e1502b9ed4ed88683df397f06cbb5,Zachary Valencia,Supermercado,Richard Mason,Santa Elena,Machala,Tipitini
178,37f4a52edc654d30b865beb05677b30d,Jeffrey Williams,Ferreteria,Jay Gomez,El Oro,La Libertad,La Bonita
179,f2cbc5404a364daaafd0335200e29ee1,Bonnie Brooks,Orfanato,Cathy Stuart,Francisco de Orellana,Cotacachi,Capzol
180,7747dac53f764f14b66673a2f9a18a52,Robin Wu,Empresa de carros,Tammie Mcbride,Manabi,Pucara,Caluma
181,bc151d9e3a964b55bdcc0c637f754329,Kara Johnson,Elaboracion de instantaneos,Jessica Watkins,Cotopaxi,Paute,San Blas
182,d59eabba358a4b58bf65b055d7d1b296,Ronald Hernandez,Albergue de animales,Thomas Vaughn,El Oro,Yantzaza,Pancho Negro
183,eef546e5153c454f80f8ff2b1472e144,Raymond Baker,Empresa de juguetes,Melvin Crane,Morona Santiago,Biblian,Carcelen
184,10dab340aefb453ea80e6f49bdef679c,Tracy Lewis,Empresa de ropa,Brianna Jackson,Imbabura,Gonzalo Pizarro,Ilapo
185,59eeca3ff82042ee89a6c32bf7e9e912,Michael Gomez,Empresa de ropa,Dennis Cooper,Bolivar,Babahoyo,Shell
186,9800680e7b85421eb28053cc44fd72d2,Jennifer Doyle,Empresa de alimentos,Alexis Smith,Galapagos,Latacunga,Manga del Cura
187,7c274dea986e4a799b8db36ca5c773a4,Jessica Anderson,Orfanato,Lindsey Lopez,Guayanas,Quininde,San Pablo
188,b16cbb7aea904cd3b758a787a3ca13b3,Julia Harris,Orfanato,Maria Guerrero,Chimborazo,Balzar,Sevilla
189,2775c09a990b4dceb0de6fd22f41e9e1,Rachel Lopez PhD,Empresa de gorras,Michelle Benson,Pastaza,Quevedo,Pan de Azucar
190,92f2d6a18b604f588476e4495ba552db,Bianca Dominguez,Empresa de alimentos,Kathryn Andrews,El Oro,Rioverde,Tomas de Berlanga
191,cf9e44a4b8ef4582a9365fb49155c13f,Benjamin Baker,Orfanato,Lance Padilla,Morona Santiago,Quininde,Zapotal
192,16f379585e9a4cf5948c9c31f0c6a9d3,Wayne Odom,Orfanato,Logan Bender,Carchi,Tulcan,Apuela
193,07377f5cf5d64f35b472bed2f16d3f3b,Sarah Davis,Albergue de animales,Michelle Pennington,Esmeraldas,Pujili,El Piedrerero
194,02493289990d4be69a5b5f217de27eb9,Lisa Schneider,Servicio de telecomunicacion,Melinda Little,Azuay,Puerto Lopez,Maldonado
195,1e240a0db8154409a966ac06076afc72,Rhonda French,Orfanato,Jennifer Williams,Sucumbios,Balzar,San Blas
196,6be92c998dc049908703d2916310e9be,Shannon Webster,Orfanato,Katelyn Allen,Pastaza,Cevallos,Colonche
197,0c2a8b75f1f348019064f190e9e22308,Amy Brooks,Empresa industrial,Betty Parker,Pastaza,Quinsaloma,Chaucha
198,ed5e456ddaf8426ca54584638d1d9557,Mark Herman,Supermercado,Dalton Barrera,Zamora Chinchipe,Espindola,Monterrey
199,80d910ab95604383ac6165b8a2502dc4,Brandon Wallace,Empresa industrial,Daniel Molina,Sucumbios,Marcelino Maridueña,Puerto Napo
200,e48222de1220479690b3043221084c80,Lori Cervantes,Orfanato,Victoria Greene,Cañar,Pedernales,Puerto Villamil
201,1563c6977b4848a6a85650f786b7bc10,Angela Davidson,Albergue de animales,Gina Key,Santo Domingo,Balsas,Puerto Baquerizo Moreno
202,3454271a644846b3bb0b88cbd5bbc59a,Gordon Ford,Orfanato,Kevin Smith,Santo Domingo,Bolivar,Tingo
