,idpermiso,nombrepermiso,descripcionpermiso,statuspermiso
49,c174e139cdf34b02ae38896f2e55ced7,Read,rlZTyI6oqLu0Fs6SF1FPmoUfB,Desactivo
50,d5b0044644ac4715b6bfa7d44eaa12db,Read,AvHiaPbwSJlAE0zTJhNGhzkFW,Activo
51,edc63e6b5cfa4fb0bf42fa8e6a85e817,Delete,y11ZmsHn67NBdbVCTjthEaxRQ,Desactivo
52,c18c8ff482bd49a6aab650e4f6a78180,Update,26rZfnBdlAGF3qyieUtzglhfD,Activo
53,2dd2e223d1584c6f8902bfb2ccc9f070,Create,5OA4EacYz2YqOXEtmlW8T970y,Desactivo
54,4562c654b58445268e52761ad64f4e8b,Read,XidgqdM4X4yAfakJH9PSLoQJY,Activo
55,7f4e9e0732d34255aa3a74be382af591,Create,9fJrPLrcuQS4aIS3WcgqkF4zU,Activo
56,12119625e38f4f0bab393cd3a321eed5,Create,nrOXwHs62yKONsCql6M8fqXoa,Desactivo
57,f575d81130284b939880b0b61240c1b2,Read,dxct4UUrdfjitZFV3ZTaDfQd2,Activo
58,611c9bf4d92b4df580c9aa4e1531f26c,Create,jGKFAASQpRlod1SwuFyAF8y1t,Desactivo
59,e262abb1731c4af6bef35c0491ecc3f2,Read,X3i1jLwNaOsAr8vPYfpGMKPge,Activo
60,479fb1c1955e4acf9613e97fc6e7bfbb,Create,iVZHtmKvuwNVtL5i5B2XQPcpV,Desactivo
61,2ccfc6b10165486cb0aedba027b508c3,Delete,SqmLLhIVhEZZGIgCry5yHLtFl,Activo
62,ae8e9c6d8dd44ebbbfa3914747f8de45,Create,Ea2ATdveSFNUZnz5Da5h37ICY,Activo
63,4aaea08a0ff34cf485930cc4a71a4e4e,Read,FPzY3MGskNIRgxiodZzulzzTZ,Desactivo
64,3e7089532b4e452ea5c07e5fc62fe800,Create,6j7A0cfzQkNzi1k8ZrGvdDimE,Activo
65,b33dbc38865d409ab977dbc1b518ec1d,Delete,3gtEsdPfe5BP4HH0dfxDc2P55,Desactivo
66,82691d591a10496393ce04ecd1363444,Read,MRz2VZFR0bgw02tZDuOYi6Q8i,Activo
67,30f147eefc3d43e9a68ff1972301f814,Update,cnG4DqH45j26PXD32ExDaRfCU,Desactivo
68,d9fbf0fb12624c45a8d353ce1b5e3a7f,Create,0xwl6nqxD0iKyVPDqOtt1ysl4,Activo
69,b5bef1a824ff429a96627fd8a716c5a2,Update,OzOdtuP1J9gzpck6xLMfTCRIZ,Desactivo
70,103f4915dae54799b479db4a330cd209,Create,LN70MxPwGHOUmSzT9c7r7mmSX,Activo
71,0b56a9a786d04fb89c5f58209c88f97d,Update,V0vJlH28da2RUA9Tc5ujAPUJ8,Activo
72,d7c7d47eaadb4d62bc2ee9ed8fdea7b5,Delete,4eHlKz4eQaEdfaaaoBupdrSpP,Activo
73,d4880c9abfe04127a9f3b5a27db8312a,Delete,lOZm8fdh6HjTfTw2KLIleILV0,Activo
74,ac0e8f544c4a44cdad331957cfdc415b,Read,1smKHF5aWJB2RWw1UE6Oo7NZM,Activo
75,30a534b723e34c3f8b809a7997e2eb1e,Read,VT2ESRGizyUOTJ31jvXWlzwGI,Activo
76,f1e42a1e45c942288c79bf1b02e84976,Read,bP7dkS9fP4eShEfgIZpfrOJ8G,Activo
77,07153bb190cb46ecbc3c845b00b3eaa1,Update,KTmKGfHur5EBYfvHDPH287Sgv,Desactivo
78,50ceacc17b6a48a8bcbcb800c2f91a87,Create,4f1SjfejHUTZzhz5byjOLCrYs,Desactivo
79,59535dae4d7243fe9cfb0ae7673e98e0,Update,PzEwk6DOVPWZopKP1e4KOwrlA,Desactivo
80,64d2773f89a0466f8461d6c8b66bce0d,Create,ny5awgk8ozi3L1eG36tqpngcm,Desactivo
81,fd3eb622d04e49a08c520697ac7a815f,Create,JpS5cUFKtZXDayQKoiPwcVSS7,Activo
82,a0198e2e92334c5d9c234962186baebd,Delete,SNmPk5h0tQAs9dBAfvHr6niaB,Activo
83,8233709812ad4639ab7a567294eda3ea,Create,NLjf89kkbA5syXb4hGuwDhlew,Desactivo
84,9dcd0ffd9f994d96aecd06f3bd42b44f,Create,OxsPM4Dly9EUulDTBhXoKadEP,Activo
85,08dad56cabea4d0c8ac2e01688fca621,Update,fvmrw6u0YbYARlmtqtOIsk2g5,Desactivo
86,1027714f5b0c444abaee1eb4ea675fd5,Read,Fqy1wEeWQBzhfTyhx2IOdTV05,Activo
87,bab7e785e6204a7d9cbe18e0d48a06ca,Create,KgIUGzFLRdfdr2F71Cm4gjaeg,Desactivo
88,e0caea65d27e47458747d337086c648a,Read,oVuB8p9LBiOm0xDSLXDZWlWK3,Desactivo
89,50cd08d4f1a14a3b970d25a9b3a42848,Delete,QpzbEdnmj1OWXsQOAlJ9hL54U,Activo
90,e98559732e71419c98dcf5ba54b4de6d,Update,nMSyboPvyGyptnPzMnspq8soJ,Activo
91,6c6bb8f431174435abce6ae0d766a48d,Read,BphtE4T1wlAaEKtMjmgYy63jm,Activo
92,1efe95c2a78c40f7ba86b75f0b3026cd,Create,07wQ0FffAZs0NWcGIm8JHVl5n,Activo
93,5ecda1df47ec4cb9a7bc686f812675c0,Delete,jQ6W8P7HhFtphGIBzhPQ4eXR8,Activo
94,fc2385d03a6d427fbf9ba99f7571bb46,Update,7bl3wAVTfW95nDwwn9IAeLTbW,Desactivo
95,5250da6150704d95b769f2d5bc780b9f,Create,WHCfWtfKlbKOv73koaLvvcyhW,Activo
96,7055b10549004a109d0dd22a38336ff5,Update,Lhk7hXbDkA1fLTqHIER5p69eu,Desactivo
97,083058cdb52044c78c546b7e8f0b4b85,Create,qV7vevyLdFTD1jvlKqTKMxAcf,Activo
98,ea25fe7f16a44712984230cdac50f050,Delete,2AkRYpHCdNdpxMCFU7lhLeykH,Activo
99,da0128f4bf39456d8560f2a0d66796a1,Update,Uup2wFTLqTsJS9KXYbvE2p3M2,Desactivo
100,1b7b6da974aa4416980dd5f79dbe8596,Read,16O6HW1SxOggZTXpDJgu2iEl2,Activo
101,bf8d500d5a1a42488e48da556dd09513,Update,genYMmcN7Lhhe6S4aflci7LKn,Desactivo
102,417142e0efce4961b51800a402e94fa0,Update,ZzfINvE6jCMNKoqFkVev8GmxV,Activo
103,f4687a797f934795840ecc819864fb7b,Delete,RF1iA6CE6tmChHtlgJmHIsslo,Activo
104,a1be92bd6e4649f9b417b5fd0cfebf8e,Read,S88jVK2iPkuhu7ZkkOHBc8WED,Activo
105,a1d71195c19145a2839506bcc4d4a00b,Delete,PdnBCuTrKMhFMaTTzw0j8zLJW,Activo
106,cbf196b28e89413ea34c24c23557bdb1,Create,3DNsmNfAN5ClNCqiE94nhf1Pd,Activo
107,36b6d6130d4f4c2c85e95522de769707,Read,YzQmQr7jKodNNLmZcyx6xyr6D,Activo
108,6c3b3bb6c04647b8a04578de97b90729,Update,T9AvYgP1uOLuXGVPhdhqJ3XSU,Activo
109,a3f6a29681854daa8d0807c96e31e155,Create,eq8b1xPh3DppsSlmiajP7rfwD,Desactivo
110,36cbd7b94f08428283103ad18366b6c1,Update,IH9KyEAwTlZjCdblbJH9BApGK,Desactivo
111,d1bcdf112efb4e78a5a28050296d9085,Create,ntGGl3pjJ3oaB8qsXmeavyT5E,Activo
112,58d964bce6cf4d0db2e46a7f9d03e8de,Create,uRkr59wyRgl9F3ea4K0cGAENl,Activo
113,d59a3a83d66c474a9f7e6846c85ff655,Update,kfKfKRCtuYpSBMGMveeDgWlxA,Activo
114,c66357f14da447378332079ffdb858bd,Delete,QaZoHAoCwkLY3HBVPZPOIKd5l,Activo
115,61f6fabdf1f5454aa8239d4b8dca3303,Read,v6vCSHYJkP7eA08hRWA5lVynq,Activo
116,076bb997f6b14ea7a4daaa5fb5cb7950,Create,v2wvYl0XNbuiJGLnlmKdKRUP0,Activo
117,ddb9f49db3314b888ae93a4e6bde9e8a,Read,5TSsDh2cXW9L1h9vs60L3iSOt,Activo
118,751414d0342c42e1a98f8af156824b14,Update,wH1nPnhIZu44nzmDmBBdaoiLA,Activo
119,f3b6c456587a48deb93ce0b6e5aaf17f,Update,HEaFjFQzGuYLDSpKgNz05paSy,Activo
120,a8da79d4906e4fc5a6dd3937b52298c9,Read,i2iOCtXHuCE0X8Vcj9Dj81rFF,Activo
121,d24ae28b13614b2b8be9d0f27f998b7e,Read,MDB6B0moqWoewcUr5b37r0iM2,Activo
122,a4badca409b44a0ea1e0a578c696c901,Create,R2e4Mx6vH7U3yaFTQh21tli0V,Activo
123,5be1ddfd01d742d99419876a8faac7fe,Create,KWrVMcMW6bUDvVKFMLTRAQe3K,Activo
124,a1afd2e4d23541538d2f226e6031e8e1,Read,uHv392QfuYGwEEuujgMesInVK,Desactivo
125,9f1a437c36c949e6a9f1bf649be2195f,Create,ro9tvCLSdsJq05NnDE2JWXLlJ,Activo
126,853c2ead1b3248749acfe3d10cef8775,Read,JfGGY13NEH0CsdQBrfsM754pw,Activo
127,564fc743d69a46c1a68dbe33921706ab,Create,TIWL6q47l0qZOquc40lA1zwfX,Desactivo
128,ce1ed95fa81b4af3aca21870757de9ec,Read,d37SGbLxW9DaO4MmcYu3bK5OS,Activo
129,61f88af1bf6341e8b0faec6b4ed60448,Create,XVfOgu51qEfUg1M9FUi3EzRQl,Desactivo
130,a41fc650ccae4330bbd15b1c0dec653e,Update,rWXq03Q2BDwX028gKpt2CF4cm,Desactivo
131,0484d790e1f346d0a54e9d559ecf6614,Delete,IjEwMMLLKBoksKmlpDt1outhV,Activo
132,ca5648dabaf5407694e69d6449b8ef21,Read,KdL34xOA4zjXXjVw4prvNfsPX,Activo
133,8af6ee9626c644b7b940a9e932d1ae8c,Read,NRBpcKvh2mP99uIJk9zzvbsIr,Desactivo
134,044237bbc6dc48a58fa657dc2a271856,Delete,JMjqwDXYXezUQsB9fRHAeeEZa,Activo
135,8943716077b24b35bb2d99ba7f8bf3b4,Delete,miNc7G3bvx1P09qbeyI1bbBAg,Activo
136,2edd60de73644b0cb344d050e9c7ecef,Create,N9bhCsvSdwNJ3VCcxw9TglWHQ,Activo
137,a59889ef698446c1935af72ff5fa95ea,Create,rec1lGAwVWZs6VFJePjMDc5sZ,Activo
138,0148152d6770464d8c31fe26698e4b0d,Update,g1j5cbCNqPY1Z2G4wUi6rauKe,Activo
139,5a3d70d8d26e484883aeb995f6bfec56,Read,xEA1wzQ59a0dXFdjBfn0UtNzj,Desactivo
140,a09e6d7e65a546b49041786ee9b3fdf6,Delete,lMKzXnaiTrQD1G6FBbDUO26Ym,Desactivo
141,5abed8a41fcb46798f58335b0f4bcfb4,Update,V2Vi5UQcjBYhjU1sq509NRQfn,Activo
142,af5fdcb8120441bb825c43e9b8bb69b8,Read,8tWyR1EUsSJpsb8dBpLMlLaHB,Activo
143,a32e795cc487446a9863eefab008ea36,Create,PCODqh2elvtWghh2aWPp88PEf,Activo
144,8d31399a8b784abc81a90f1687f352be,Create,Pz60SyY4zDcizl8p1jPmub3bn,Activo
145,c117477af66e4ad083cff7cd61c2b583,Create,le26r1l23Vm72CFBydtzxvScv,Desactivo
146,c21d71572c1a4e97bf9cb06f1ccd763b,Delete,wHbf3ui8yhqKKeOqRRWB4ie4r,Desactivo
147,09709ee823e941aa998da21480500dd0,Update,TIUpNqJ5snvycaLwlwEiWEBWV,Activo
148,6d1b862dd52a4d2bafd36c74d4428e2b,Create,WT2R3U1fDuoqromGTsDmx3N86,Activo
149,a934a51ed2d34eb1a4bf77772c80c4e8,Update,rIQpKtmyvE2lXCcpfgSGo3GyV,Activo
150,78e6117dbbc64e49b93d14917b3961dd,Update,R5XZQ9HKnuFTHfWfCHCHpA57s,Activo
151,768e2e87c7c14db9a338126809d0b352,Update,vyNxpbhkaC9dU3PExZGjQtAh8,Desactivo
152,c01024fa6ed24bdd8ccddde27f81b428,Delete,4JjAACI5VsrreKRomqfkRjlSf,Desactivo
153,4514dcea3ea149ad92367dbdef818fb7,Delete,4rSAzLjRbPlkRxHsnU193aj70,Desactivo
154,b5ba2300b2ac455392957dbc99093584,Delete,e6h7OjxBD8thmI38AI79OvkzG,Activo
155,b649746ded124159ac2ee5c4efb6a283,Create,wk3tC5TIwAiweIuPaetSkhgSS,Activo
156,1b6eaf07224d4e238344eaa4e1677a89,Update,t5Z10xfjbIFBRVsv1pRPWYRcQ,Desactivo
157,004788d271b846b29130ef3e22988d8a,Delete,YboVd80JFwXWmqVTjz9w5rZjb,Activo
158,a1e2473970034102a6489e1209b91510,Create,ljkjh61Nz8nEKciY4cDvYqRzf,Activo
159,85c9f8c284c84fb19543528faf8bc647,Create,wuCOOMknXiMis2dfKhAgVnFBE,Desactivo
160,9b434d4e9123425f889ce9996e1d868d,Delete,TloTLeN6WX1X2haYMuqyRXPwa,Activo
161,1de0ba3f04a74596831a50fd387e515a,Create,BQ9ofxktKlAsrcRHSGtS3HF0K,Activo
162,c486fb857924476f800d778e085ff4bb,Read,bMobeBYbPUNPT7I8pI0Cv8UE3,Activo
163,79fb9ad99efd4de7a5ebfc56094ca943,Delete,InEroC0eN8SLs6jJLqrmuEqtd,Activo
164,8d672ed2c8d248d691c51c87ec7a2f88,Delete,sQmaQYMkalxLPDXhATL52cc8N,Activo
165,db5d67fbad5e4b059468283f41ca67ff,Update,vrYVBmocxdDTaIBQkXSZPjXhq,Activo
166,d7d34a9b4a9f4514a455df8496d30f20,Delete,Y1mSxI6J3wzgjyl4Hf780YohC,Activo
167,52e4b1d5840941c999671505434b3210,Delete,JUIYyQTJ1hyPnVyAlOq7prR1Q,Activo
168,d3d65e11228149a793c7e9d69fa30ed2,Read,r7Zawf2uQlLmV8ImjiFyMsWE3,Desactivo
169,4cb895877651419d8038cc3956a474fb,Create,jmnv0iwn0Q6wSSLiQY4uCnbyg,Activo
170,18d4b60a2a0e460cb795ba79359fa94c,Update,hdIkwzXayx9HDrffyXFtsH8f8,Activo
171,d6cc85a5a1be469893f775e582f44447,Update,GBw1vOV6Oi1ctc1naMhGtlZqk,Activo
172,5c1d2bd3ee62470ca123426dcc0bc278,Delete,NaK1bhWXR9bNRsAl1NYXQL5lX,Desactivo
173,9bcbabdf93674e6ca3c1075de099f01a,Read,xOiMCUhVru6390hdZHQF65LZE,Activo
174,33d10e2bbae54897b36e9d8b31a1b471,Delete,QtsgHLqwUAsFwN1frlAdzj4P4,Activo
175,3f9c1b5ca35943f69deb7150e4cacf61,Create,hon43lMwNbTtpuvhnjBtk6ARo,Activo
176,8039d622ab3e4e8e981fa074c99c4ed4,Read,fwoGGnPdElRIdMfSQAES3r3Ka,Desactivo
177,e7a2023090904547b9a1c3e6d3c287ec,Read,8qx6wDkJ20z42vSHl3xkQmhtx,Activo
178,eb5f8237241549dea982857d59f2364e,Create,khpvvNfHJXoHzDFnBteyFzJYR,Activo
179,fdcda50240f84b0f854972402ee39f12,Delete,Tb6UcQE6caoSxTZu3tiCn7v1F,Activo
180,cc6402242d834b74b0f309233643859d,Create,fkc0Bwn1uMYXTokvXJggZwp6l,Desactivo
181,6a192ee9e878464093feee4e793be61c,Read,SoqEHD8pLkpT4phUFl0dWxso8,Activo
182,07c196d5540c48e2a7a752afa80d60f8,Delete,G3bDm1wlU9hkR3GGLQbL4QBFG,Activo
183,5d2a78ced56f4f129771c8adb17248e2,Update,BmGD44ZsHuM8B7ciTFhmpIOca,Activo
184,b132af07813d4840967cfcab446823ff,Create,aI2TV7pK0x0vqVUX5sTkk0udt,Desactivo
185,0f5eecab20434888b0466b72712e3a33,Read,QpyxvP3XmZgvPCwjMszwggaTf,Activo
186,b393031035a64d919e03f3b4b4ada20f,Create,ypsqKbaeChhXKldBQr04TmU3N,Desactivo
187,8e328f25cbfa423888b5054f2c740b8a,Create,v9tFWOJnwKfsseg0X1JhcHt3a,Activo
188,9898fab7b94d411bb2ac54f2fa1af70b,Delete,OYvUwwm4t6FZ6ChIkBp5FSLRj,Desactivo
189,eb3600864bfb4344b71a5a7884230135,Create,XIbbW7AR6htcYq0CMDiIMNmKG,Activo
190,2f210287ef0e4b1e8c16b91372380d60,Read,Zx6OrTboYn8VRxQZpzt6LEzkL,Activo
191,0e86d55442bc4e51a54f6869dee990b0,Update,73lkBVRaXyR0adiykDm20eOZb,Desactivo
192,8a6f7f5311924e97a74beacda85339fa,Create,WymBC5ziXo1DTnX91x8YLOJB4,Activo
193,1d37b39e64944bc094509866b67a6f8d,Delete,gsdEXrxP14vSwJ4Lt0S3EpuHS,Activo
194,3345c40fc8f347b1a6f6b87769a9c501,Delete,M36w1I40JOmdRiZH6so8wPPxB,Activo
195,5c2483555862477aa802c5e2f00b6567,Update,52I9o388WrNoGCK7P58Yiv5uh,Activo
196,cc10123fa2e34bb59fb5386a6138465c,Create,Rnr6BiKdIEP06G7PUWmWFkTls,Activo
197,6fdfe02217ab4614a40dc4c1485b846b,Delete,oLPnEn6yaX9lhUe4KK8bRCGMB,Desactivo
198,9936c7c2442b4beb9253a657f5c4d6ef,Update,yQg6iblPfS3nYb1BgdopCTxrN,Desactivo
199,7ba0a3d8d1524e95be3f1e092e670bb7,Update,cDsm6SDuuaFolgfPxO9odLyzh,Activo
200,bc04ee19c0124668a56b9081ff243045,Create,SP8uKleIvNIiO54jQa93bqbKq,Activo
201,65796d357e884cd6861fd821e2c63b68,Read,2aLDa37IzAiD1GSR69g1zn5pm,Activo
202,efcda9bd481940f3a600d2345b22c63d,Update,tYQBMlwnTOF6Jt6MjFjsSWhpY,Activo
203,c4ae3377afea4b869897acf61187f64d,Update,Ip9EgEsJ3rkYL3UUCPFYxfUl1,Activo
204,1c4bdca2216f44088bb625394be876b5,Read,F6ZqKwXLyIStxaBVL5ZQcdpGv,Activo
205,04b5b48bb39b4a26b1e190c279d08604,Delete,MwlMtX0EyBxoTkVlGbjCexMkj,Desactivo
206,e94c52ad72db49a3af8ef1fb9cb584f3,Delete,srJZYpxTIDNCyn2FZrXZ5fPnA,Activo
207,d54936d78a0448e8bd48954cf538e27a,Update,IB0ckhEuxuMRSUfP96yNAulZO,Activo
208,4d591a0b9c974b3b932c4c6f8170c27a,Update,WNTWvTeJOB4YBtzfwZ4yXgvya,Desactivo
209,bb6dc504681c43e496200e0f783d78c7,Update,ADx6ky6SO0qPmWAoVkCmIBSFy,Desactivo
210,fe4155bebba842c0b933dd093e17e597,Delete,0Gi9vTnbkojCze98z0Zh0cCVt,Activo
211,131fdfaa31524bf18f570475c60ab6ff,Delete,DBlguuaZWVgiVOsg3FzAyG93e,Desactivo
212,30db509e1d424f7385d439d6f212af19,Create,RH5GwljXdEvUzm3G7zRSGPmoE,Desactivo
213,1b324ae10c3e4b15a9e49ca08b6104a1,Create,LTk5lbmQI64waDlT3jjqB0Uit,Activo
214,0f84c2b31e0a45028985914289429157,Create,NTcwbfFx2pX33naDiVjgQJAm4,Activo
215,10727d760df6445f84bbe32bd8ef4b2a,Update,XPxbY8KN4YIW67rztV5DG6Sh9,Activo
216,b82d3ff11fb64c0c871b52aedc662857,Update,KJ6WdD0CII92wxBN9pKkepcTc,Activo
217,99313ea9a27c4833a36d58ac55d5c2e8,Create,4wXeK1LnmYR6iMiDCW9BKxqcm,Activo
218,956f094581504a5e9d10397aef8a55f1,Delete,1ohl6ELXDprg1juzz13CdxfXC,Desactivo
219,493fa25ed0fb4acda3428040ea297518,Update,Hy6rXW7mhOu2yvc7cdvfVOkk0,Desactivo
220,69484ccbbbf54554b34b340024db03a8,Delete,LpOcccEpvDHK4Tn6fUIyreeyl,Activo
221,c3f02fe8ee124a16ac4b32a74e12e904,Read,c8Dhm8Cg5MtcrXQloZuQZoMhN,Desactivo
222,796bda00eb4849d4afd4e5d31de4b7e8,Create,8rYm5s4WZsfFnuISazO6rWmxV,Activo
223,93e80023fa484250b0412749ad6de6d7,Delete,wQ3iJNT3tsRsZaZEkubHNcjAA,Desactivo
224,a4d157a35f064639b418e0e94097477a,Delete,dnk68pqC1wsI9r64V3Ueif4vw,Activo
225,4284a288d0a344eab215b7655a39b085,Update,vE4FzkEDaPqHBODLlBRPXOVbJ,Activo
226,17f94260826b4ec6810710983171080b,Delete,GOkodJBzSgaCTG1fsDDwsAPK9,Desactivo
227,775613232a994a80aba9e0bb9bff2448,Delete,l1InPVGbXN9Hnx2IY3tv0ViC4,Activo
228,c7feeea597604477a46ed8916d8f03d8,Create,SDLse8LsfGVsANLIemgrOEo3j,Activo
229,64409676914b4ab880d30ba0d969b088,Update,rKcsmybjy7OWWcZ5KhIdn0Isw,Activo
230,5ce952605c8543c9915cd683971a38b4,Read,YKBvOgV4JXsfSznkx2U7x8mwb,Activo
231,481fde6f87f74e85a4c1d2699fa9d6bf,Update,vAaLGq5WLKRcFcj4KkPaVuzKC,Activo
232,4e8ad83dc1ec4844bc7c0028cc89d6df,Update,tkF9RyZtSZbpJsK9XuHdK6uf9,Desactivo
233,168844f9ba10459db8e7b3f724aead0c,Create,frwnnz5WmNl7dMuAFlbunQQuw,Activo
234,f6114658a1b44b8e8c2b99857229fbb6,Read,qWICWKJjdrgJ45mU63rOTaO3u,Activo
235,dfd3115d3cea4217b18a354117f20ce4,Update,5uHw0b24eRUgmpJXmmzlCWnq2,Desactivo
236,3f3d158988b246049aefe843a023e9bc,Update,wW1wQ3f7sctHvA7lkxcmv4UUW,Activo
237,1170f2b184ea4b59a196999f9a6d2ac5,Update,BSm6L8n4QhwvjPwmf05yRxyEj,Desactivo
238,3034429138a242f5811bd05e571e2d10,Delete,xHPewWH4KM0MA56PxIgi0A8r5,Activo
239,f06a2a8891dd4133a45a58c3900bddf0,Read,Pj5GiHnwiiTRU9on4Zsjyp2oQ,Desactivo
240,0ce1215423814402b4418298dd761074,Delete,cIAPuBU2Re0JoeKYUidKhvklv,Activo
241,7f08a0287fd94d5191c9e30ffb2ae868,Delete,zQxM04dbHt6zefGKlWAwxrWxM,Activo
242,0b25c4b4d61d4c7bb06a713f065fd300,Read,ASRYNNgXD1MfPSH36BIBjYCMK,Activo
243,be16853f924b42c69ea079f7af287419,Create,DAFdithQ0McbwoEM2aze6dRjG,Desactivo
244,e521fed691ef4c5f8e78e118bda54c5b,Delete,O8gaaFYdO36zD2ahvLbYacHeE,Desactivo
